Sample,DHCer d16:1/C16:0(-H20) Results,DHCer d16:1/C16:0 Results,DHCer d18:1/C22:1(-H20) Results,DHCer d18:1/C22:1 Results,DHCer d18:2/C18:1(-H20) Results,DHCer d18:2/C18:1 Results,Gb3(d16:1)(C16:0) SL Results,Gb3(d16:1)(C16:0) Results,Gb3(d16:1)(C22:0) Results,Gb3(d18:1)(C12:0) SL Results,Gb3(d18:1)(C12:0) Results,Gb3(d18:1)(C14:0) Results,Gb3(d18:1)(C18:1) SL Results,Gb3(d18:1)(C18:1) Results,Gb4(d16:1)(C16:0) Results,Gb4(d18:1)(C16:1) Results,Gb4(d18:1)(C17:0) Results,Gb4(d18:1)(C18:1) Results,Gb4(d18:1)(C19:0) Results,Gb4(d18:1)(C20:1) Results,Gb4(d18:1)(C22:1) Results,Gb4(d18:1)(C25:0) Results,Gb4(d18:1)(C25:1) Results,Gb4(d18:1)(C26:0) Results,Gb4(d18:2)(C18:0) Results,Gb4(d18:2)(C24:1) Results,GM3 d16:1/C14:0 Results,GM3 d16:1/C16:0 Results,GM3 d16:1/C18:0 Results,GM3 d16:1/C22:0 Results,GM3 d16:1/C24:0 Results,GM3 d16:1/C24:1 Results,GM3 d18:1/C14:0 Results,GM3 d18:1/C20:0 Results,GM3 d18:2/14:0 Results,MHCer d16:1/C16:0(-H20) Results,MHCer d16:1/C16:0 Results,MHCer d16:1/C18:0(-H20) Results,MHCer d16:1/C18:0 Results,MHCer d16:1/C20:0 Results,MHCer d16:1/C20:0(-H20) Results,MHCer d16:1/C22:0(-H20) Results,MHCer d16:1/C22:0 Results,MHCer d16:1/C22:1(-H20) Results,MHCer d16:1/C22:1 Results,MHCer d16:1/C23:0(-H20) Results,MHCer d16:1/C23:0 Results,MHCer d16:1/C24:0(-H20) Results,MHCer d16:1/C24:0 Results,MHCer d16:1/C26:0(-H20) Results,MHCer d16:1/C26:0 Results,MHCer d18:1/C8:0 (ISTD) Results,MHCer d18:1/C8:0 (ISTD)(-H20) Results,GM3 d18:2/16:0 Results,GM3 d18:1/C16:0 Results,Gb4(d18:2)(C16:0) Results,GM3 d18:2/18:0 Results,Gb3(d18:2)(C16:0) Results,Gb3(d18:1)(C16:1) SL Results,Gb3(d18:1)(C16:1) Results,DHCer d18:1/C14:0(-H20) Results,DHCer d18:1/C14:0 Results,MHCer d18:2/C16:1(-H20) Results,MHCer d18:2/C16:1 Results,DHCer d18:2/C16:0 Results,DHCer d18:2/C16:0(-H20) Results,Gb4(d18:1)(C16:0) Results,GM3 d18:1/C18:0 Results,GM3 d16:1/C20:0 Results,MHCer d18:1/C14:0 Results,MHCer d18:1/C14:0(-H20) Results,GM3 d18:2/20:0 Results,Gb3(d18:1)(C16:0) SL Results,Gb3(d18:1)(C16:0) Results,MHCer d18:2/C16:0 Results,MHCer d18:2/C16:0(-H20) Results,Gb3(d18:2)(C18:0) Results,DHCer d18:1/C16:0 Results,DHCer d18:1/C16:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,Gb3(d18:1)(C17:0) SL Results,Gb3(d18:1)(C17:0) Results,MHCer d18:1/C16:1(-H20) Results,MHCer d18:1/C16:1 Results,Gb4(d18:1)(C18:0) Results,GM3 d18:2/24:1 Results,GM3 d18:2/22:0 Results,MHCer d18:1/C16:0(-H20) Results,MHCer d18:1/C16:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,Gb3(d18:1)(C18:0) SL Results,Gb3(d18:1)(C18:0) Results,MHCer d18:1/C18:1(-H20) Results,MHCer d18:1/C18:1 Results,Gb3(d18:1)(C19:0) SL Results,Gb3(d18:1)(C19:0) Results,Gb4(d18:1)(C20:0) Results,GM3 d18:1/C24:1 Results,GM3 d18:1/C22:0 Results,Gb4(d18:2)(C22:0) Results,GM3 d18:2/24:0 Results,DHCer d18:1/C18:0(-H20) Results,DHCer d18:1/C18:0 Results,MHCer d18:1/C18:0 Results,MHCer d18:1/C18:0(-H20) Results,Gb3(d18:1)(C22:1) SL Results,Gb3(d18:1)(C22:1) Results,Gb3(d18:1)(C20:0) SL Results,Gb3(d18:1)(C20:0) Results,MHCer d18:1/C20:1(-H20) Results,MHCer d18:1/C20:1 Results,MHCer d16:1/C23:1(-H20) Results,MHCer d16:1/C23:1 Results,MHCer d18:2/C20:0 Results,Gb3(d18:1)(C24:2) SL Results,Gb3(d18:1)(C24:2) Results,Gb3(d18:2)(C24:1) Results,MHCer d18:2/C20:0(-H20) Results,Gb3(d18:2)(C22:0) Results,DHCer d18:1/C20:0 Results,DHCer d18:1/C20:0(-H20) Results,Gb3(d18:1)(C21:0) SL Results,Gb3(d18:1)(C21:0) Results,Gb4(d18:1)(C24:1) Results,Gb4(d18:1)(C22:0) Results,GM3 d18:1/C24:0 Results,Gb3(d18:1)(C23:1) SL Results,Gb3(d18:1)(C23:1) Results,DHCer d18:2/C22:0 Results,DHCer d18:2/C22:0(-H20) Results,DHCer d18:2/C24:1 Results,DHCer d18:2/C24:1(-H20) Results,Gb4(d18:2)(C24:0) Results,Gb4(d18:1)(C23:0) Results,Gb3(d18:1)(C24:1) SL Results,Gb3(d18:1)(C24:1) Results,Gb3(d18:1)(C22:0) SL Results,Gb3(d18:1)(C22:0) Results,MHCer d18:1/C20:0 Results,MHCer d18:1/C20:0(-H20) Results,MHCer d18:1/C22:1(-H20) Results,MHCer d18:1/C22:1 Results,MHCer d18:2/C22:1(-H20) Results,MHCer d18:2/C22:1 Results,MHCer d16:1/C24:1(-H20) Results,MHCer d16:1/C24:1 Results,MHCer d18:2/C22:0 Results,Gb3(d18:2)(C24:0) Results,MHCer d18:2/C22:0(-H20) Results,MHCer d18:1/C24:1(-H20) Results,MHCer d18:1/C24:1 Results,MHCer d18:2/C24:1(-H20) Results,MHCer d18:2/C24:1 Results,DHCer d18:1/C24:1 Results,DHCer d18:1/C24:1(-H20) Results,DHCer d18:1/C22:0 Results,DHCer d18:1/C22:0(-H20) Results,Gb3(d18:1)(C23:0) SL Results,Gb3(d18:1)(C23:0) Results,Gb3(d18:1)(C25:1) SL Results,Gb3(d18:1)(C25:1) Results,Gb4(d18:1)(C24:0) Results,DHCer d18:2/C24:0 Results,DHCer d18:2/C24:0(-H20) Results,MHCer d18:1/C23:1(-H20) Results,MHCer d18:1/C23:1 Results,MHCer d18:2/C23:0 Results,MHCer d18:2/C23:0(-H20) Results,DHCer d18:1/C23:0 Results,Gb3(d18:1)(C24:0) SL Results,Gb3(d18:1)(C24:0) Results,DHCer d18:1/C23:0(-H20) Results,MHCer d18:1/C22:0(-H20) Results,MHCer d18:1/C22:0 Results,MHCer d18:2/C24:0 Results,MHCer d18:2/C24:0(-H20) Results,DHCer d18:1/C24:0 Results,Gb3(d18:1)(C25:0) Results,DHCer d18:1/C24:0(-H20) Results,Gb3(d18:1)(C25:0) SL Results,MHCer d18:1/C25:1(-H20) Results,MHCer d18:1/C25:1 Results,MHCer d18:1/C23:0 Results,MHCer d18:1/C23:0(-H20) Results,MHCer d18:2/C25:0 Results,MHCer d18:1/C26:1(-H20) Results,MHCer d18:1/C26:1 Results,MHCer d18:2/C25:0(-H20) Results,Gb3(d18:1)(C26:0) SL Results,Gb3(d18:1)(C26:0) Results,MHCer d18:1/C24:0 Results,MHCer d18:1/C24:0(-H20) Results,MHCer d18:1/C25:0(-H20) Results,MHCer d18:1/C25:0 Results,MHCer d18:1/C26:0(-H20) Results,MHCer d18:1/C26:0 Results,C1P d18:1/C16:0 Results,Cer d16:1/C22:1(-H20) Results,Cer d16:1/C22:1 Results,Cer d16:1/C25:1(-H20) Results,Cer d16:1/C25:1 Results,Cer d16:1/C26:0(-H20) Results,Cer d16:1/C26:0 Results,Cer d16:1/C26:1(-H20) Results,Cer d16:1/C26:1 Results,Cer d18:0/C23:1(-H20) Results,Cer d18:0/C23:1 Results,Cer d18:0/C25:0(-H20) Results,Cer d18:0/C25:0 Results,Cer d18:0/C25:1(-H20) Results,Cer d18:0/C25:1 Results,Cer d18:0/C26:0(-H20) Results,Cer d18:0/C26:0 Results,Cer d18:0/C26:1(-H20) Results,Cer d18:0/C26:1 Results,Cer d18:1/C14:1(-H20) Results,Cer d18:1/C14:1 Results,Cer d18:1/C16:1(-H20) Results,Cer d18:1/C16:1 Results,Cer d18:2/C18:1(-H20) Results,Cer d18:2/C18:1 Results,SM C34:0 Results,SM C36:0 Results,SM C38:0 Results,SM C40:0 Results,SM C42:0 Results,SM d18:0/C16:0 Results,SM d18:0/C18:0 Results,SM d18:0/C20:0 Results,SM d18:0/C22:0 Results,SM d18:0/C24:0 Results,Sphd16:1 Results,Sphd18:2 Results,Sphd18:1-D7 (ISTD) Results,Sphd18:1 Results,Sphd18:0-D7 (ISTD) Results,Sphd18:0 Results,SM C24:1 (ISTD) Results,SM d18:1/C6:0 (ISTD) Results,C1P d18:1/C8:0 (ISTD) Results,Cer d18:1/C8:0 (ISTD) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,SM C30:1 Results,SM d18:1/C12:0 Results,SM C32:2 Results,SM d18:2/C14:0 Results,SM d16:1/C16:0 Results,SM d18:1/C14:0 Results,SM C32:1 Results,SM d18:2/C16:0 Results,SM C34:2 Results,Cer d18:2/C14:0(-H20) Results,Cer d18:2/C14:0 Results,SM d16:1/C18:0 Results,SM d18:1/C16:0 Results,SM C34:1 Results,SM C36:2 Results,SM d18:2/C18:0 Results,Cer d16:1/C16:0 Results,Cer d16:1/C16:0(-H20) Results,Cer d18:1/C14:0(-H20) Results,Cer d18:1/C14:0 Results,Cer d18:2/C16:0 Results,Cer d18:2/C16:0(-H20) Results,SM C36:1 Results,SM d16:1/C20:0 Results,SM d18:1/C18:0 Results,SM C38:2 Results,SM d18:2/C20:0 Results,Cer d18:0/C16:0(-H20) Results,Cer d18:0/C16:0 Results,Cer d16:1/C18:0 Results,Cer d18:1/C16:0 Results,Cer d16:1/C18:0(-H20) Results,Cer d18:1/C16:0(-H20) Results,Cer d18:1/C18:1 Results,Cer d18:2/C18:0 Results,Cer d18:1/C18:1(-H20) Results,Cer d18:2/C18:0(-H20) Results,Cer d18:2/C20:1 Results,Cer d18:2/C20:1(-H20) Results,SM C38:1 Results,SM d16:1/C22:0 Results,SM d18:1/C20:0 Results,SM C42:3 Results,SM d18:2/C24:1 Results,SM C40:2 Results,SM d16:1/C24:1 Results,SM d18:1/C22:1 Results,SM d18:2/C22:0 Results,SM C39:1 Results,SM d16:1/C23:0 Results,Cer d18:1/C18:0(-H20) Results,Cer d18:1/C18:0 Results,Cer d18:0/C18:0 Results,Cer d16:1/C20:0(-H20) Results,Cer d18:0/C18:0(-H20) Results,Cer d16:1/C20:0 Results,Cer d18:1/C20:1 Results,Cer d18:1/C20:1(-H20) Results,SM d18:1/C23:1 Results,SM d18:2/C23:0 Results,SM C41:2 Results,Cer d18:2/C20:0 Results,Cer d18:2/C20:0(-H20) Results,Cer d18:2/C22:1 Results,Cer d18:2/C22:1(-H20) Results,SM d18:1/C24:1 Results,SM d18:2/C24:0 Results,SM C42:2 Results,SM d16:1/C24:0 Results,SM d18:1/C22:0 Results,SM C40:1 Results,Cer d18:2/C23:1 Results,Cer d18:2/C23:1(-H20) Results,SM C41:1 Results,SM d18:1/C23:0 Results,SM C43:2 Results,SM d18:1/C25:1 Results,SM d18:2/C25:0 Results,Cer d18:0/C20:0 Results,Cer d18:0/C20:0(-H20) Results,Cer d18:1/C20:0(-H20) Results,Cer d18:1/C20:0 Results,Cer d18:1/C22:1(-H20) Results,Cer d18:1/C22:1 Results,Cer d18:0/C22:1(-H20) Results,Cer d18:0/C22:1 Results,Cer d16:1/C22:0(-H20) Results,Cer d16:1/C22:0 Results,Cer d16:1/C24:1(-H20) Results,Cer d16:1/C24:1 Results,Cer d18:2/C24:1(-H20) Results,Cer d18:2/C24:1 Results,Cer d18:2/C22:0 Results,Cer d18:2/C22:0(-H20) Results,SM C42:1 Results,SM d18:1/C24:0 Results,Cer d18:1/C23:1(-H20) Results,Cer d18:1/C23:1 Results,Cer d16:1/C23:0 Results,Cer d16:1/C23:0(-H20) Results,Cer d18:2/C25:1 Results,Cer d18:2/C25:1(-H20) Results,Cer d18:2/C23:0(-H20) Results,Cer d18:2/C23:0 Results,Cer d18:0/C22:0(-H20) Results,Cer d18:0/C22:0 Results,SM d18:1/C25:0 Results,SM C43:1 Results,Cer d18:0/C24:1(-H20) Results,Cer d18:0/C24:1 Results,Cer d18:1/C24:1 Results,Cer d18:1/C24:1(-H20) Results,Cer d18:1/C22:0 Results,Cer d18:1/C22:0(-H20) Results,Cer d16:1/C24:0(-H20) Results,Cer d16:1/C24:0 Results,Cer d18:2/C26:1 Results,Cer d18:2/C26:1(-H20) Results,Cer d18:2/C24:0(-H20) Results,Cer d18:2/C24:0 Results,Cer d18:1/C25:1(-H20) Results,Cer d18:1/C25:1 Results,SM d18:1/C26:0 Results,SM C44:1 Results,Cer d18:0/C23:0 Results,Cer d18:1/C23:0 Results,Cer d18:0/C23:0(-H20) Results,Cer d18:1/C23:0(-H20) Results,Cer d18:2/C25:0(-H20) Results,Cer d18:2/C25:0 Results,Cer d18:1/C26:1(-H20) Results,Cer d18:1/C26:1 Results,Cer d18:0/C24:0(-H20) Results,Cer d18:1/C24:0(-H20) Results,Cer d18:0/C24:0 Results,Cer d18:1/C24:0 Results,Cer d18:2/C26:0(-H20) Results,Cer d18:2/C26:0 Results,Cer d18:1/C25:0 Results,Cer d18:1/C25:0(-H20) Results,Cer d18:1/C26:0 Results,Cer d18:1/C26:0(-H20) Results
TQC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195801,131013,329,32503,2147,2883,27628,15484,2536,393,1387.909591,283,6489,206476,46093,58416,81043,364,1468,2805,7832,229076,403806,16439,34808,3608,87446,70781,19740,576,1303,104,11895,1150,223,1119,93584,47096,84807,12725,24079,2052,1567,1023,1578,1430,1233,4961,539,92,39809,214112,170445,332581,13472,6403,29684,48171,3025,2008,101,579,3939,25896,37803,15787,8650,15173,6099,2699,5641,8771,4472,5480,4498,2289,2370,11450,5020,17249,6934,817,1924,201380,334427,153075,282422,103695,185851,242780,113913,168,106591,1468,1411,28267,63674,55772,27835,9128,176345,99547,29879,9479,22260,12207,41205,68148,1253,1780,7982,46485,17725,66234,30481,17003,29180,8111,230573,475344,5395,1484465,750292,50596,78959,43566,11316,14164,5826,162004,86645,324742,533735,2231,51631,2738,4097,2667,2594,1665980,2803888,87042,69496,13765,9947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,30064,56939,196539,18936,12070,246176,1228,7347,139561,22444,653,32,2430,20,135,82,47515,4563,1456361,10,523,124,77580,28057219,796771,2134,844,197,12,1607,80897,7690,7790784,69,18790,246358,558,630,5396,808,325261,51,31177,1449,115998,65,9806,83,68,2160577,65,5586,1953207,2023,1252235,18,733,1974,184725,55,34126,396933,6522,35,1347,724,226,50,67,0,255502,23743,1498,2105,35,4536,7380,6166091,37,4989,3502315,570,134,643133,183642,54108.24451,265,11234,1151,67,3501,43175,1023,10008,11,318,76,861,105,514,2916,47480,48786,4033,2132012,6423,194,2511,232,127,60,107,38,15509,114,2091,382,39650,291,2423,128390,9093,103337,8145,100,312,277,80,4779,58565,19,989,63,11198,282,34754,28,2501,54,1028,19,503,494,8030,2406,107644,97,393,3020,32,757,11
TQC14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193072,140573,302,26140,1832,2121,32375,17695,2368,1123,712.264947,78,8209,206388,45124,58917,79660,456,1108,1432,7822,192877,395240,14580,37504,3650,97111,69487,16788,759,1418,29,9345,1208,279,884,100723,43178,84873,14782,23177,1810,1487,821,1590,897,2625,6013,634,390,38081,213221,170261,312553,12541,5642,26639,46163,3780,2412,76,633,4469,31656,40197,14540,5822,16717,8731,3452,5891,8385,4600,6402,3720,2346,1119,11231,4008,19413,7623,363,1620,199957,312389,177973,282375,97025,218127,222116,121614,29,118517,1493,682,31317,66207,71412,28001,9264,181451,95033,27081,12197,26964,10684,41932,74761,2181,1847,6947,41151,17288,64377,34672,13655,27054,9425,212685,423723,4652,1615326,707891,60812,113362,41789,11006,16512,6801,182736,70404,290088,620447,2628,51590,2407,2993,2245,2535,1545807,2633684,93892,63597,14475,8768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,77889,139462,525136,49770,25890,670631,3463,19119,349824,56440,1592,11,6652,18,216,160,158222,15677,5349812,63,1483,104,140407,45667311,1056857,2729,1331,230,49,1883,142438,11380,9619507,50,22655,373251,965,1098,8722,1819,604753,329,48626,3408,270882,328,20317,309,25,4503876,170,10452,3764159,4230,1356869,39,1468,4097,724527,965,77365,1086239,17017,214,1935,1702,1390,65,132,0,199458,66840,4131,3940,369,13324,17157,18078388,317,14265,11095886,1038,176,1907024,507,124293.6318,0,27531,1897,616,10254,117897,1688,22109,189,210,314,2269,154,619,7778,138002,135456,10163,6262661,1233,220,5013,539,156,845,30,2736,39526,766,4582,0,112014,148,4247,325318,18809,262472,24821,57,1178,527,74,9489,130994,165,2000,17,23969,1826,74817,33,6637,331,2802,86,1101,705,21569,4942,303021,91,1061,9418,901,1631,27
TQC15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179231,138769,443,32589,2149,2606,28743,18983,2819,1069,1299.574421,76,7949,208888,53011,52204,75044,582,1374,2760,9894,195612,372989,15292,27126,3898,90264,72077,19819,868,1261,2,11238,1319,404,1329,87081,48451,84522,12469,23315,2769,1417,1032,1255,1569,1919,5559,258,202,30118,198068,169931,343290,13315,6975,28591,43813,3325,1820,117,656,4850,27473,36843,13674,8059,17138,7299,2828,5966,8853,4205,6044,3628,1285,1733,10619,4432,16422,6482,1538,2516,191295,298602,179685,270164,90935,199746,239913,125111,149,115751,1974,404,31511,68768,67458,27232,9715,188254,111331,31324,11584,22758,9781,42517,73063,1764,2405,5693,45995,22079,61033,32016,12681,22976,7776,201138,433363,4174,1532442,687899,63911,84134,45480,11089,18959,5210,158770,72017,306389,565539,2083,46108,24627,4158,2202,3098,1704308,2624939,77873,65025,13185,8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937,79410,157884,546470,51425,26640,682979,3105,20690,372139,59183,1626,13,7236,9,235,344,168166,16695,5441974,35,1481,103,137630,45621485,1086753,3023,1280,218,174,2128,160087,11953,8931978,14,22545,354220,901,722,7757,1673,567864,289,49197,2938,297194,440,21211,72,28,4802302,7,8987,4420112,4947,2821334,69,1110,5053,700950,48,83453,1213810,20327,394,2301,2173,1381,278,41,0,293759,67558,5386,5056,69,13729,16146,17129004,101,17573,10040250,998,100,1805315,394768,100989.7471,0,29541,1623,347,9880,115059,1528,25205,26,601,88,1539,164,952,8623,135174,126774,10412,6149102,2541,105,3319,378,195,1212,204,3404,41069,807,5220,0,92696,190,6378,353685,20944,325696,21675,32,1135,150,260,11905,169731,108,2546,99,26978,629,81251,345,5398,306,3091,285,1235,710,25906,5141,357479,114,926,11274,989,1685,93
37 Blk+ISTD 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64169,39666,10,76,0,25,26,386,399,68,0,108,33,80,84,17,140,28,291,153,53,652,1279,127,145,41,351,105,16865,42,392,174,173,0,40,51,166,336,241097,147,278,78,194,83,31,31,51,119,34,19,64,1772,784,774,39,89,229,701,115,53,416,135,84,65,147,128,34,102,239,68,101,77,0,13,44,0,21,35,140,205,24,45,0,561,2033,698,1631,421,237,471,570,100,52,205,182,131,16,53,81,235,95,96,262,16,109,81,300,59,31,57,0,405,87,176,242,41,182,39,973,1293,68,1089,1776,135,188,164,45,147,42,242,49,697,484,43,128,74,107,42,24,3735,2959,43,60,92,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,488,48439,1030,17847,93,247660,1158,3247,130096,21961,49,23,99,21,62,8,512,9,4563,65,22,52,141,46640,3358,10,321,125,88,209,554,36,36057,110,186,1491,29,120,18,165,1980,17,45,70,667,217,20,74,6,5478,20,45,4958,36,4155,42,8,65,990,130,86,2135,75,26,42,139,4,14,54,22,407,204,63,30,103,22,149,21497,127,46,12371,38,94,2441,680,610.6697658,19,24,56,132,234,280,33,53,109,169,124,71,103,82,23,289,228,21,10156,36,8,35,91,199,67,47,80,27,26,112,92,215,35,133,451,17,426,63,183,35,70,25,63,63,33,45,76,129,102,268,89,50,12,20,21,19,85,68,12,667,16,48,79,81,102,8
1744_kidney_MF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61044,43566,325,21501,5168,298,89652,43514,1133,383,1752.163309,351,15642,535776,119903,67175,5716,99,293,422,666,643081,1260280,47587,53580,3106,414385,273945,11868,1954,1012,233,22437,328,269,10,93036,46742,53063,16465,28269,115,1593,2805,2662,2768,795,3595,2353,64,1669,7099,1948,3802,62858,8004,138521,210676,222,4795,139,508,541,48037,49029,53029,1279,81834,4735,3912,19798,19879,7711,21823,3195,19520,3548,78907,38566,137792,73618,6989,4883,613772,726705,737208,1377025,9514,22091,1459,23201,41,3912,82,346,18372,540918,25091,7056,7277,33111,44906,112520,39066,83039,27195,196293,273306,5976,5144,33191,346381,149755,645,9591,5781,8922,19643,870853,1992607,9194,123162,57086,91813,133334,312217,35204,81290,21395,149,831,19006,20433,1440,769,212,2279,9126,10988,180786,202836,2921,3002,1450,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,88909,61753,319391,23052,5432,268930,1492,8477,158287,24129,1851,32,10385,45,191,484,230672,30954,11790164,239,2118,54,204496,57580588,159966,422,2372,408,367,3083,269731,21327,1061241,11,2681,285944,967,2172,16199,106,1047544,71,86898,1431,7638,70,682,50,24,3407447,46,8557,5878494,10037,3234412,82,734,7424,396220,26,1425,29336,245,130,30,544,392,77,126,1064,904477,10884,1217,3135,124,25473,9136,5090386,140,29565,11712774,1576,91,2269088,4562,162639.4683,56,2519,786,139,2842,34050,88,4711,16,229,7,359,26,569,13755,224705,156028,9883,10316818,24446,56,338,318,243,1577,251,3935,52168,76,3099,95,135790,195,3895,215213,14938,186712,15364,121,817,1200,58,23370,401690,58,662,34,42691,1047,57156,41,5153,614,6720,80,658,240,25146,5620,349230,323,2230,7988,861,1630,36
